"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Kaleidoscope: A Crowdsourcing Testing Tool for Web Quality of Experience","P. Wang; M. Varvello; A. Kuzmanovic","Software College, Northeastern University, Shenyang, China; Brave Software; Department of Computer Science, Northwestern University, Xi'an, China",2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),"31 Oct 2019","2019","","","1971","1982","Today's webpages development cycle consists of constant iterations with the goal to improve user retention, time spent on site, and overall quality of experience. Big companies like Google, Facebook, Amazon, etc. invest a lot of time and money to perform online testing. The prohibitive costs of these approaches are an entry barrier for smaller players. Further, the lack of a substantial user-base can be problematic to ensure statistical significance within a reasonable duration. In this paper we propose Kaleidoscope, an automated tool to evaluate Web features at a large scale, quickly, accurately, and at a reasonable price. Kaleidoscope can test two crucial user-perceived Web features - the style and page loading. As far as we know, it is the first testing tool to replay page loading by controlling visual changes on a webpage. Kaleidoscope allows to concurrently load a webpage in two versions (e.g., different fonts, with vs without ads) that are shown to a participant side-by-side. Further, Kaleidoscope also allows a participant to interact with each webpage version and provide feedback, e.g., respond to a questionnaire previously prepared by an ""experimenter"". Kaleidoscope supports both voluntary and paid testers from FigureEight, a popular crowdsourcing platform. Using hundreds of FigureEight testers, we validate that Kaleidoscope matches the accuracy of trusted in-lab tests while providing results about 12x faster (and arguably at a lower cost) than A/B testing. Finally, we showcase how to use Kaleidoscope's page loading feature to study the user-perceived page load time (uPLT) of a webpage.","2575-8411","978-1-7281-2519-0","10.1109/ICDCS.2019.00195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8885005","Web testing;Crowdsourcing;A/B testing;Page loading;Quality of Experience","Testing;Tools;Loading;Crowdsourcing;Browsers;Complexity theory;Quality of experience","","5","","60","IEEE","31 Oct 2019","","","IEEE","IEEE Conferences"
"Accelerated Testing for Highly Automated Vehicles: A Combined Method Based on Importance Sampling and Normalizing Flows","H. Zhang; J. Sun; Y. Tian","Department of Traffic Engineering and Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji University, Shanghai, China; Department of Traffic Engineering and Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji University, Shanghai, China; Department of Traffic Engineering and Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji University, Shanghai, China",2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),"1 Nov 2022","2022","","","574","579","The risk rate of Highly Automated Vehicles (HAVs) represents their self-driving capability. One goal of safety testing is to estimate the risk rate of HAVs in naturalistic driving environment and compare them with human drivers. Due to the low exposure of risk events, such statistic estimation requires massive tests accumulation. To address this problem, we propose an enhanced accelerated testing method which combines the Importance Sampling and Normalizing Flows together. Importance Sampling can replace the naturalistic probability density function with a new one where rare events are more likely to occur. Considering that fitting Importance Sampling distribution with conventional parametric distributions is limited., the method of Normalizing Flows is introduced. It is capable to learn the distribution of rare events and to estimate Importance Sampling distribution by applying a sequence of invertible transformations. Normalizing Flows also maintains the correlated relationship between scenario variables. We apply it on naturalistic Car-following scenarios and estimate the collision rate of our System Under Test (SUT). It shows the combined method reduces the number of tests by 253 times compared to Monte Carlo when the relative half width reaches the required accuracy. The proposed method has great potential in accelerating the safety assessment of HAVs.","","978-1-6654-6880-0","10.1109/ITSC55140.2022.9922218","National Natural Science Foundation of China(grant numbers:52172391); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9922218","","Monte Carlo methods;Planets;Life estimation;Probability density function;Weaving;Safety;Reliability","","5","","26","IEEE","1 Nov 2022","","","IEEE","IEEE Conferences"
"Evaluation of Dataset Distribution and Label Quality for Autonomous Driving System","S. Li; Y. Fan; Y. Ma; Y. Pan","School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China; School of Computer Science and Technology, Southwest University of Science and Technology, Mianyang, China","2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)","1 Apr 2022","2021","","","196","200","Nowadays, some well-known open source datasets used to train models in autonomous driving domain, which still have some data quality problems, and greatly affect the accuracy of training results. Therefore, it is meaningful to study the influence of dataset's quality. According to ISO/IEC 25012:2008(E), this paper mainly evaluates the dataset distribution and the dataset label quality. Dataset distribution is the equilibrium between the features of the dataset, and the dataset label quality includes missing, duplicate and inconsistent label. We used the noise data learning model O2U-Net [1] to see the impact on accuracy by simulating dataset quality problems, such as changing the equilibrium and making noise labels. The experimental results show that adding “car” and other common features in automatic driving filed, had a higher accuracy in the model, while missing label and inconsistent label have the most serious impact on the accuracy of the model. In terms of the determination of dataset quality, more attention should be paid to the equilibrium of interested feature in the autonomous driving field, as well as the problems of missing label and inconsistency label. Finally, this paper integrates a data quality testing platform, which can well show the quality problems of autonomous driving datasets.","2693-9371","978-1-6654-7836-6","10.1109/QRS-C55045.2021.00037","Science and Technology Department of Sichuan Province(grant numbers:2019YFS0155); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742177","autonomous driving datasets;dataset distribution;dataset label quality;noisy data","Training;Pollution;Data integrity;Software quality;Data models;Software reliability;Security","","2","","14","IEEE","1 Apr 2022","","","IEEE","IEEE Conferences"
"An Enhanced DarkNet53-based YOLOv3 Feature Pyramid Network for Real-Time Object Detection","S. Sharma; K. Guleria; S. Tiwari; S. Kumar","Chitkara University Institute of Engineering & Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering & Technology, Chitkara University, Punjab, India; Department of CSE, G B Pant, DSEU Okhla I Campus, Delhi, India; Department of CSE, G B Pant, DSEU Okhla I Campus, Delhi, India",2024 International Conference on Computational Intelligence and Computing Applications (ICCICA),"11 Jul 2024","2024","1","","148","153","With the rapid escalation of automatic and self-driving vehicles, the most efficient, safe, and reliable object detection system has been a big requirement for the automobile industry. These vehicles need an intelligent and highly accurate object detection and recognition system to be implemented for safe and secure driving to avoid road accidents. The ADAS is one of the features in automatic vehicles with improved navigation and object identification performance. Furthermore, better and optimal object detection is also required in surveillance and security along with industrial management and traffic management systems. The proposed work focuses on the development of an object detection model with enhanced and improved capabilities of the deep learning-based YOLOv3 model. This model has been supplied with the learning rate value of 0.001, training batch of 64, decay of 0.0005, and momentum has been set to 0.9. The activation function used in the downsample blocks has been set to either leaky ReLU or linear function. Further, the total number of classes on which the model has been trained is 80 including person, bicycle, car, parking meter, etc. This model is capable of object detection in the images collected from the web. This model has been trained with 80 different classes and testing has been done with the real-time data collected from the websites. This model is capable of dealing with object detection in those images varying from low to high density of the objects. The proposed model can be implemented in traffic light object detection, and ADAS along with security and surveillance applications for enhanced detection and optimal system generation.","","979-8-3503-0644-6","10.1109/ICCICA60014.2024.10585196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585196","YOLOv3;deep learning;surveillance;autonomous vehicle;traffic detection;feature extraction","YOLO;Training;Road accidents;Surveillance;Traffic control;Feature extraction;Real-time systems","","1","","17","IEEE","11 Jul 2024","","","IEEE","IEEE Conferences"
"Video Face Anonymization for Preserving Privacy","G. Megala; R. Venkatesan; T. Vigneshwaran","School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, India; Department of Computer Science and Engineering, SRM TRP Engineering College, Trichy, India; Department of Computer Science and Engineering, SRM TRP Engineering College, Trichy, India","2022 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)","2 Feb 2023","2022","01","","1","5","This work scales with the development of preserving privacy on face anonymization in a video. The aim of this work is to identify, preserve and protect the privacy of individuals who appear in videos with sensitive contexts or wish to conceal their identities before sharing on social media platforms to avoid cyber bullying, cyber stalking and other problems caused by the trend of viral videos in today’s social climate. An automatic face detection is implemented and blurring for processing the video. The experimental results shows that person face privacy is preserved temporal in appearance across video frames.","","979-8-3503-3384-8","10.1109/ICDSAAI55433.2022.10028937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028937","Anonymization;Convolutional Neural Network;ImageNet","Deep learning;Privacy;Data privacy;Visualization;Face recognition;Feature extraction;Spatial databases","","1","","16","IEEE","2 Feb 2023","","","IEEE","IEEE Conferences"
"Speeded Up Robust Features Algorithm on Augmented Reality for Sirah Nabawiyah Learning Media","D. R. Ramdania; A. Wahana; C. H. Nurulaeni; Y. A. Gerhana; W. B. Zulfikar","Department of Informatics, UIN SunanGunung Djati, Bandung, Indonesia; Department of Informatics, UIN SunanGunung Djati, Bandung, Indonesia; Department of Informatics, UIN SunanGunung Djati, Bandung, Indonesia; Department of Informatics, UIN SunanGunung Djati, Bandung, Indonesia; Department of Informatics, UIN SunanGunung Djati, Bandung, Indonesia","2022 IEEE 8th International Conference on Computing, Engineering and Design (ICCED)","13 Jan 2023","2022","","","1","6","Based on the survey results, 85% of young children do not know about the history of the prophet or the miracles that were revealed to the prophet. Studying the history of the prophet is an embodiment of the 4th pillar of faith, namely Faith in the Prophet. Given the urgency, several learning media in various forms have been created and marketed to introduce Sirah nabawiyah, one of which is Augmented Reality. This study aims to build an application to recognize the history of the prophet using Augmented Reality. The Speeded Up Robust Features (SURF) algorithm is applied to detect AR markers. Based on the effectiveness test results, the application can display objects with an average time of 0.17 seconds for a distance of 10 cm, 0.23 seconds for a distance of 20 cm, and 0.34 seconds for a distance of 30 cm. This shows that the algorithm can function well in detecting objects.","2767-7826","978-1-6654-5389-9","10.1109/ICCED56140.2022.10010625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10010625","Augmented Reality;Sirah nabawiyah;speeded up robust features (SURF)","Three-dimensional displays;Technology acceptance model;Media;Feature extraction;Cameras;History;Augmented reality","","1","","38","IEEE","13 Jan 2023","","","IEEE","IEEE Conferences"
"UniAda: Universal Adaptive Multiobjective Adversarial Attack for End-to-End Autonomous Driving Systems","J. Zhang; J. W. Keung; Y. Xiao; Y. Liao; Y. Li; X. Ma","Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; School of Cyber Science and Technology, Sun Yat-Sen University, Shenzhen, China; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong; Department of Computer Science, City University of Hong Kong, Hong Kong",IEEE Transactions on Reliability,"5 Dec 2024","2024","73","4","1892","1906","Adversarial attacks play a pivotal role in testing and improving the reliability of deep learning (DL) systems. Existing literature has demonstrated that subtle perturbations to the input can elicit erroneous outcomes, thereby substantially compromising the security of DL systems. This has emerged as a critical concern in the development of DL-based safety–critical systems like autonomous driving systems (ADSs). The focus of existing adversarial attack methods on end-to-end (E2E) ADSs has predominantly centered on misbehaviors of steering angle, which overlooks speed-related controls or imperceptible perturbations. To address these challenges, we introduce UniAda–a multiobjective white-box attack technique with a core function that revolves around crafting an image-agnostic adversarial perturbation capable of simultaneously influencing both steering and speed controls. UniAda capitalizes on an intricately designed multiobjective optimization function with the adaptive weighting scheme (AWS), enabling the concurrent optimization of diverse objectives. Validated with both simulated and real-world driving data, UniAda outperforms five benchmarks across two metrics, inducing steering and speed deviations from 3.54$^{\circ }$ to 29$^{\circ }$ and 11 to 22 km/h on average. This systematic approach establishes UniAda as a proven technique for adversarial attacks on modern DL-based E2E ADSs.","1558-1721","","10.1109/TR.2024.3394894","General Research Fund of the Research Grants Council of Hong Kong; City University of Hong Kong(grant numbers:7005217,9220097,9220103,9229029,9229098,9678149); National Natural Science Foundation of China(grant numbers:62025604); Shenzhen Science and Technology Program(grant numbers:KQTD20221101093559018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10546476","Adversarial attacks;autonomous driving;deep learning (DL);multiobjective optimization;white-box attacks","Perturbation methods;Predictive models;Optimization;Testing;Glass box;Autonomous vehicles;Numerical models","","","","54","IEEE","3 Jun 2024","","","IEEE","IEEE Journals"
"MNNP: Design and Development of Traffic Sign Identification and Recognition System to Support Smart Vehicles using Modified Neural Network Principles","A. G; R. Hemalatha; S. N; K. R. Kavitha; M. Tamilselvi; A. K. Kumar","Department of Electronics and Communication Engineering, Saveetha School of Engineering, SIMATS, Chennai; Department of Computer Science and Engineering, St. Joseph's College of Engineering, Chennai; Department of EEE, S. A. Engineering College, Chennai; Department of ECE, Sona College of Technology, Salem; Department of ECE, SRM Institute of Science and Technology, Chennai; Department of ECE, School of Engineering, Mohan Babu University (Erstwhile Sree Vidyanikethan Engineering College), Tirupati, Andhra Pradesh","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)","3 Jan 2024","2023","","","1","7","In recent times, the acceleration of automotive and computer vision technologies has sparked significant interest in autonomous vehicles. These vehicles' capacity to operate securely and effectively hinges on their adeptness at accurately identifying traffic signs. Consequently, traffic sign recognition has emerged as a pivotal element within autonomous driving systems. Scientists have been hard at work looking at various approaches to accomplishing this recognition, mostly drawing on machine learning and deep learning techniques. To address this issue, we offer a Modified Neural Network approach that combines the Haar cascade algorithm with a MobileNet model classifier. Our developed model is rigorously trained on the GTSRB dataset and then put to the test on a wide variety of traffic sign types. The culmination of our efforts yields a remarkable testing accuracy rate of 97.25%. This finding highlights the possible effectiveness of our technique in improving autonomously vehicle traffic sign identification, which in turn helps to improve the security and effectiveness of autonomous driving systems.","","979-8-3503-0570-8","10.1109/RMKMATE59243.2023.10369847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369847","Traffic Sign Identification;Deep Learning Model;Neural Network;MobileNet Classifier","Deep learning;Computer vision;Machine learning algorithms;Neural networks;Learning (artificial intelligence);Fasteners;Knowledge management","","","","12","IEEE","3 Jan 2024","","","IEEE","IEEE Conferences"
"Object Detection and Action Recognition using Computer Vision","M. S. S. Reddy; P. R. Khatravath; N. K. Surineni; K. R. Mulinti","Department of CSE, Institute of Aeronautical Engineering Dundigal, Hyderabad, Telangana, India; Department of CSE, Institute of Aeronautical Engineering Dundigal, Hyderabad, Telangana, India; Department of CSE, Institute of Aeronautical Engineering Dundigal, Hyderabad, Telangana, India; Department of CSE, Institute of Aeronautical Engineering Dundigal, Hyderabad, Telangana, India",2023 International Conference on Sustainable Computing and Smart Systems (ICSCSS),"7 Jul 2023","2023","","","874","879","One of the main issues with computer vision is the recognition of objects and actions. Deep learning has significantly changed how society uses artificial intelligence since it first emerged a few years ago. The study was primarily designed for monitoring and proctoring reasons. Action recognition is used to keep track of the subject’s motions, and object detection is used to locate objects in the scene. This proposed model is built in Python using real-time computer vision frameworks like Open CV and YOLO. Moreover, Open CV is used in image processing and machine learning. Up to 80 different things can be recognized from the data set of objects provided. You Only Look Once(YOLO), Faster Recurrent Convolutional Neural Networks (RCNN), and Single Shot Detector (SSD). When performance is more important than accuracy, YOLO excels while Faster RCNN and SSD do better. This technique efficiently detects objects without degrading performance. There are few challenges faced during the study auch as Viewpoint Variation, Deformation, Occlusion, Illumination Condition, Cluttered, Intra-Class Variation.","","979-8-3503-3360-2","10.1109/ICSCSS57650.2023.10169620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169620","Computer vision;Convolutional neural network;Objection Detection;Tensor flow;Numpy.","Deep learning;Computer vision;Tracking;Image processing;Lighting;Object detection;Video surveillance","","","","15","IEEE","7 Jul 2023","","","IEEE","IEEE Conferences"
"Research on the Nash Game based Shared Control and its Critical Testing Scenario Generation Method","Y. Zhang; J. Lv; B. Sun; Y. Li; H. Liang; Q. Liu","ASCL Jilin University, Changchun, China; Automotive Data of China (Tianjin) Co. Ltd, Tianjin, China; ASCL Jilin University, Changchun, China; ASCL Jilin University, Changchun, China; ASCL Jilin University, Changchun, China; Jilin Engineering, Normal University, Changchun, China",2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),"18 Oct 2022","2022","","","402","410","The shared control system is aiming at improving both driving safety and comfort. The testing scenario generation method, especially for critical scenarios, is the vital step for development and deployment of shared control vehicles. The research presented in this paper focuses on a Nash game based shared control strategy and its critical testing scenario generation method. The driving authority allocation strategy basing on the traffic situation and driving capability is established firstly. In this part, both the traffic situation and driving capability are quantified and a fuzzy rule is proposed to allocate the driving authority. The knowledge of non-cooperative game and Nash equilibrium theory are applied to obtain the optimal shared control strategy. In the given operational design domain (ODD), testing scenarios can be evaluated by a novel proposed indicator, scenario importance, which can be computed as the combination of risk degree and occurrence probability. Test results show that the proposed shared control strategy can intervene drivers’ operation in different scenario risk degrees to ensure safety and improve driving acceptability and the scenario generated method can validate the proposed share control system reasonably and effectively as well.","","978-1-6654-8090-1","10.1109/AEECA55500.2022.9919034","Nature; China Postdoctoral Science Foundation; Technology Development; National Social Science Fund of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919034","shared control;Nash game;critical testing scenarios","Electrical engineering;Computational modeling;Games;Computer applications;Nash equilibrium;Control systems;Safety","","","","11","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"Reinforcement Learning-Based Autonomous Collision Prediction and Avoidance System for Vehicles","S. Jagan; G. K. Jadhav; C. Priya; P. Adhikary; U. M. Bhatt; V. Jayasri","Department of Computer Science and Engineering, Vel Tech RangarajanDr.Sagunthala R&D Institute of Science and Technology, Chennai, Tamil Nadu; Mechanical Engineering, Dr. D Y Patil Institute of Engineering, Management & Research Akurdi, Pune; Department of Electrical And Electronics Engineering, Sri Sairam Engineering College, Chennai, Tamil Nadu, India; Department of Mechanical Engineering, New Horizon College of Engineering, Bangalore; Department of Computer Science & Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand, India; Department of AI&DS, St. Martins Engineering College, Secunderabad, Telangana","2023 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","19 Mar 2024","2023","","","1","5","This study investigates the feasibility developing an Autonomous Collision Prediction and Avoidance System (RL-ACPAS) based on Reinforcement Learning automobiles in light of the increasing prevalence of autonomous vehicles on the road. In this research, we used a thorough approach that included data gathering from many sensors, RL agent training using deep reinforcement learning algorithms, and performance assessment. The findings show that RL-ACPAS has high rates of avoiding collisions, fast reaction times, and effective decision-making, all of which bode well for enhancing road safety, traffic efficiency, and economic sustainability. These results, combined with hypothetical data and practical consequences, illustrate the transformational potential of RL-ACPAS. The real-world effects on security, effectiveness, economy, and trust are emphasized throughout the presentation. Insights into technological developments, road safety awareness, regulatory issues, and consumer advantages are also provided to readers. Future directions include things like improved learning algorithms, sensor integration, field testing, ethics, human-AI interaction, regulatory frameworks, data sharing, and constant progress. The future of RL-ACPAS is one of experimentation, cooperation, and dedication to making autonomous transportation systems more secure and dependable.","","979-8-3503-1920-0","10.1109/ICSES60034.2023.10465417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10465417","Autonomous Vehicles;Reinforcement Learning;Avoidance Systems;Deep Reinforcement Learning;Real-Time Decision-Making;Collision Prediction;Vehicle Safety;RL-ACPAS;Regulatory Frameworks;Traffic Efficiency","Training;Economics;Ethics;Transportation;Prediction algorithms;Road safety;Security","","","","15","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"Comparing Different Pedestrian Representations for Testing Automated Driving Functions in Mixed Reality Environments","J. Peintner; M. F. Drechsler; C. Manger; G. Seifert; F. Reway; W. Huber; A. Riener","CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany; CARISSMA Institute of Automated Driving, Technische Hochschule Ingolstadt, Ingolstadt, Germany",2022 IEEE International Conference on Vehicular Electronics and Safety (ICVES),"28 Dec 2022","2022","","","1","7","Validation of safety-critical driver assistance systems is usually performed on test tracks in scenario-based test procedures like the Euro NCAP safety assessment program. With higher automation, the test effort increases exponentially due to the system complexity, which requires new and more efficient test methods that also consider the complexity of every-day road traffic situations. So far, mixed reality environments have been proposed to provide an efficient way of virtual testing and also allow for more realistic interactions between vulnerable road users and automated vehicles. In this work, we investigate the use of different pedestrian representations with varying levels of fidelity (articulated pedestrian target, animated pedestrian, full-body motion capture) regarding their impact on the performance of an exemplary AEB driving function. The results show that the detection of the underlying algorithm and the function's response differ only slightly for the three pedestrian representations. We conclude that all the proposed methods of representing human movement are applicable for testing automated driving functions in mixed reality and can be deployed, depending on the specific test scenario and available resources.","","978-1-6654-7698-0","10.1109/ICVES56941.2022.9986669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9986669","","Target tracking;Roads;Mixed reality;Virtual environments;Motion capture;Complexity theory;Safety","","","","30","IEEE","28 Dec 2022","","","IEEE","IEEE Conferences"
"“A Crowdsourcing-based QoE Evaluation of an Immersive VR Autonomous Driving Experience”","G. D. Gomes; R. Flynn; N. Murray","Software Research Institute Athlone Institute of Technology, Athlone, Ireland; Software Research Institute Athlone Institute of Technology, Athlone, Ireland; Software Research Institute Athlone Institute of Technology, Athlone, Ireland",2021 13th International Conference on Quality of Multimedia Experience (QoMEX),"30 Jun 2021","2021","","","25","30","Due to COVID-19, crowdsourcing has gained momentum as an alternative methodology for continuing research and for Quality of Experience (QoE) assessment. Employing this approach, we remotely evaluated the user perceived QoE of two different visual rendering formats as part of an Autonomous Vehicles (AVs) simulation. The aim was to investigate the participant's QoE when testing AV technology in distinct visual rendering qualities (lowpoly vs high-poly) of an online streamed 360° car riding experience. In addition, a scoring model based on the expected reliability of each level of the remote assessment was designed. Findings suggest that the consumer's preferences towards the adoption of AV technology is highly determined by the system and human effects on Influence Factors (IFs). Moreover, the adequacy of reliability into a mathematical model is highlighted as a potential turning point for QoE assessment, by carrying out the evaluation tasks from the laboratory environment into the internet, particularly relevant in pandemic times.","2472-7814","978-1-6654-3589-5","10.1109/QoMEX51781.2021.9465390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465390","Quality of Experience;Crowdsourcing;Autonomous Vehicles;VirtualReality;COVID-19;Visual quality;Photogrammetry","Crowdsourcing;Performance evaluation;Training;Visualization;Rendering (computer graphics);Turning;Quality of experience","","","","59","IEEE","30 Jun 2021","","","IEEE","IEEE Conferences"
"Doppelgänger Test Generation for Revealing Bugs in Autonomous Driving Software","Y. Huai; Y. Chen; S. Almanee; T. Ngo; X. Liao; Z. Wan; Q. A. Chen; J. Garcia","University of California, Irvine; University of California, Irvine; University of California, Irvine; VNU University of Engineering and Technology; University of California, Irvine; University of California, Irvine; University of California, Irvine; University of California, Irvine",2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),"14 Jul 2023","2023","","","2591","2603","Vehicles controlled by autonomous driving software (ADS) are expected to bring many social and economic benefits, but at the current stage not being broadly used due to concerns with regard to their safety. Virtual tests, where autonomous vehicles are tested in software simulation, are common practices because they are more efficient and safer compared to field operational tests. Specifically, search-based approaches are used to find particularly critical situations. These approaches provide an opportunity to automatically generate tests; however, system-atically producing bug-revealing tests for ADS remains a major challenge. To address this challenge, we introduce DoppelTest, a test generation approach for ADSes that utilizes a genetic algorithm to discover bug-revealing violations by generating scenarios with multiple autonomous vehicles that account for traffic control (e.g., traffic signals and stop signs). Our extensive evaluation shows that DoppelTest can efficiently discover 123 bug-revealing violations for a production-grade ADS (Baidu Apollo) which we then classify into 8 unique bug categories.","1558-1225","978-1-6654-5701-9","10.1109/ICSE48619.2023.00216","NSF(grant numbers:1823262,1929771,1932464,2145493); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172903","cyber-physical systems;autonomous driving systems;search-based software testing","Software testing;Computer bugs;Web and internet services;Traffic control;Software systems;Safety;Test pattern generators","","13","","81","IEEE","14 Jul 2023","","","IEEE","IEEE Conferences"
"Towards affordable on-track testing for autonomous vehicle — A Kriging-based statistical approach","Z. Huang; H. Lam; D. Zhao","Department of Industrial and Operations Engineering, University of Michigan; Department of Industrial Engineering and Operations Research, Columbia University; Department of Mechanical Engineering, University of Michigan",2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),"15 Mar 2018","2017","","","1","6","This paper discusses the use of Kriging model in Automated Vehicle evaluation. We explore how a Kriging model can help reduce the number of experiments or simulations in the Accelerated Evaluation procedure. We also propose an adaptive sampling scheme for selecting samples to construct the Kriging model. Application examples in the lane change scenario are presented to illustrate the proposed methods.","2153-0017","978-1-5386-1526-3","10.1109/ITSC.2017.8317656","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317656","","Estimation;Monte Carlo methods;Predictive models;Acceleration;Entropy;Safety;Conferences","","12","","16","IEEE","15 Mar 2018","","","IEEE","IEEE Conferences"
"Accelerated Testing and Evaluation of Autonomous Vehicles via Imitation Learning","G. E. Mullins; A. G. Dress; P. G. Stankiewicz; J. D. Appler; S. K. Gupta","Johns Hopkins University Applied Physics Laboratory, Laurel, Maryland, USA; Johns Hopkins University Applied Physics Laboratory, Laurel, Maryland, USA; Johns Hopkins University Applied Physics Laboratory, Laurel, Maryland, USA; Johns Hopkins University Applied Physics Laboratory, Laurel, Maryland, USA; Department of Aerospace and Mechanical Engineering and Center for Advanced Manufacturing, University of Southern California, Los Angeles, California, USA",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","5636","5642","In this paper, we investigate the use of surrogate agents to accelerate test scenario generation for autonomous vehicles. Our goal is to train the surrogate to replicate the true performance modes of the system. We create these surrogates by utilizing imitation learning with deep neural networks. By using imitator surrogates in place of the true agent, we are capable of predicting mission performance more quickly, gaining greater throughput for simulation-based testing. We demonstrate that using on-line imitation learning with Dataset Aggregation (DAgger) can not only correctly encode a policy that executes a complex mission, but can also encode multiple different behavioral modes. To improve performance for the target vehicle and mission, we manipulate the training set during each iteration to remove samples which do not contribute to the final policy. We call this approach Quantile-DAgger (Q-DAgger) and demonstrate its ability to replicate the behaviors of an autonomous vehicle in a collision avoidance scenario.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460965","","Testing;Training;Autonomous vehicles;Trajectory;Adaptation models;History","","10","","20","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
